src_ip,dst_ip,protocol,timestamp,length,src_port,dst_port,protocol_type
13.107.5.93,192.168.0.123,6,1722604390.524099,1310,443.0,53179.0,TCP
192.168.0.123,13.107.5.93,6,1722604390.525298,668,53179.0,443.0,TCP
13.107.5.93,192.168.0.123,6,1722604390.635522,54,443.0,53179.0,TCP
13.107.5.93,192.168.0.123,6,1722604390.635522,513,443.0,53179.0,TCP
13.107.5.93,192.168.0.123,6,1722604390.635641,1512,443.0,53179.0,TCP
192.168.0.123,13.107.5.93,6,1722604390.635661,54,53179.0,443.0,TCP
192.168.0.123,13.107.5.93,6,1722604392.194697,594,53179.0,443.0,TCP
13.107.5.93,192.168.0.123,6,1722604392.261839,54,443.0,53179.0,TCP
192.168.0.126,224.0.0.251,17,1722604392.297695,503,5353.0,5353.0,UDP
13.107.5.93,192.168.0.123,6,1722604392.327188,1512,443.0,53179.0,TCP
192.168.0.123,13.107.5.93,6,1722604392.368904,54,53179.0,443.0,TCP
192.168.0.126,224.0.0.251,17,1722604392.401991,82,5353.0,5353.0,UDP
192.168.0.123,239.255.255.250,17,1722604392.562193,212,49774.0,1900.0,UDP
192.168.0.123,192.168.0.255,17,1722604393.400616,86,57621.0,57621.0,UDP
192.168.0.123,239.255.255.250,17,1722604393.570318,212,49774.0,1900.0,UDP
192.168.0.123,239.255.255.250,17,1722604394.570445,212,49774.0,1900.0,UDP
192.168.0.123,239.255.255.250,17,1722604395.574200,212,49774.0,1900.0,UDP
192.168.0.126,224.0.0.251,17,1722604396.301519,503,5353.0,5353.0,UDP
192.168.0.123,13.107.5.93,6,1722604396.544295,54,53179.0,443.0,TCP
13.107.5.93,192.168.0.123,6,1722604396.666863,54,443.0,53179.0,TCP
13.107.5.93,192.168.0.123,6,1722604396.666863,54,443.0,53179.0,TCP
192.168.0.123,13.107.5.93,6,1722604396.666921,54,53179.0,443.0,TCP
192.168.0.123,13.107.5.93,6,1722604396.666959,54,53179.0,443.0,TCP
13.107.5.93,192.168.0.123,6,1722604396.768337,54,443.0,53179.0,TCP
192.168.0.123,13.107.5.93,6,1722604397.043326,66,53180.0,443.0,TCP
13.107.5.93,192.168.0.123,6,1722604397.293889,66,443.0,53180.0,TCP
192.168.0.123,13.107.5.93,6,1722604397.293961,54,53180.0,443.0,TCP
192.168.0.123,13.107.5.93,6,1722604397.294515,66,53181.0,443.0,TCP
192.168.0.123,13.107.5.93,6,1722604397.294676,778,53180.0,443.0,TCP
13.107.5.93,192.168.0.123,6,1722604397.357976,54,443.0,53180.0,TCP
13.107.5.93,192.168.0.123,6,1722604397.357976,153,443.0,53180.0,TCP
192.168.0.123,13.107.5.93,6,1722604397.358936,849,53180.0,443.0,TCP
13.107.5.93,192.168.0.123,6,1722604397.369373,66,443.0,53181.0,TCP
192.168.0.123,13.107.5.93,6,1722604397.369443,54,53181.0,443.0,TCP
192.168.0.123,13.107.5.93,6,1722604397.369773,763,53181.0,443.0,TCP
13.107.5.93,192.168.0.123,6,1722604397.406636,54,443.0,53180.0,TCP
13.107.5.93,192.168.0.123,6,1722604397.407362,1310,443.0,53180.0,TCP
192.168.0.123,13.107.5.93,6,1722604397.407381,66,53180.0,443.0,TCP
13.107.5.93,192.168.0.123,6,1722604397.407403,1514,443.0,53180.0,TCP
192.168.0.123,13.107.5.93,6,1722604397.407416,66,53180.0,443.0,TCP
13.107.5.93,192.168.0.123,6,1722604397.407425,1514,443.0,53180.0,TCP
192.168.0.123,13.107.5.93,6,1722604397.407432,54,53180.0,443.0,TCP
192.168.0.123,13.107.5.93,6,1722604397.409026,667,53180.0,443.0,TCP
13.107.5.93,192.168.0.123,6,1722604397.417790,54,443.0,53181.0,TCP
13.107.5.93,192.168.0.123,6,1722604397.417874,153,443.0,53181.0,TCP
192.168.0.123,13.107.5.93,6,1722604397.418487,834,53181.0,443.0,TCP
13.107.5.93,192.168.0.123,6,1722604397.443615,54,443.0,53180.0,TCP
13.107.5.93,192.168.0.123,6,1722604397.444170,513,443.0,53180.0,TCP
13.107.5.93,192.168.0.123,6,1722604397.460357,54,443.0,53181.0,TCP
192.168.0.123,13.107.5.93,6,1722604397.490507,54,53180.0,443.0,TCP
13.107.5.93,192.168.0.123,6,1722604397.491301,1514,443.0,53181.0,TCP
13.107.5.93,192.168.0.123,6,1722604397.491391,1295,443.0,53181.0,TCP
192.168.0.123,13.107.5.93,6,1722604397.491422,66,53181.0,443.0,TCP
13.107.5.93,192.168.0.123,6,1722604397.491456,1514,443.0,53181.0,TCP
192.168.0.123,13.107.5.93,6,1722604397.491467,54,53181.0,443.0,TCP
192.168.0.123,13.107.5.93,6,1722604397.493124,608,53181.0,443.0,TCP
13.107.5.93,192.168.0.123,6,1722604397.524651,1514,443.0,53180.0,TCP
13.107.5.93,192.168.0.123,6,1722604397.524699,87,443.0,53180.0,TCP
192.168.0.123,13.107.5.93,6,1722604397.524708,54,53180.0,443.0,TCP
13.107.5.93,192.168.0.123,6,1722604397.524726,861,443.0,53180.0,TCP
13.107.5.93,192.168.0.123,6,1722604397.535280,54,443.0,53181.0,TCP
13.107.5.93,192.168.0.123,6,1722604397.535810,513,443.0,53181.0,TCP
192.168.0.123,13.107.5.93,6,1722604397.569891,54,53180.0,443.0,TCP
192.168.0.123,13.107.5.93,6,1722604397.585092,54,53181.0,443.0,TCP
13.107.5.93,192.168.0.123,6,1722604397.604749,107,443.0,53181.0,TCP
192.168.0.123,13.107.5.93,6,1722604397.604780,66,53181.0,443.0,TCP
13.107.5.93,192.168.0.123,6,1722604397.604840,1514,443.0,53181.0,TCP
192.168.0.123,13.107.5.93,6,1722604397.604857,54,53181.0,443.0,TCP
13.107.5.93,192.168.0.123,6,1722604397.605475,54,443.0,53181.0,TCP
192.168.0.123,13.107.5.93,6,1722604397.605505,54,53181.0,443.0,TCP
13.107.5.93,192.168.0.123,6,1722604397.605538,115,443.0,53181.0,TCP
192.168.0.123,13.107.5.93,6,1722604397.605558,54,53181.0,443.0,TCP
192.168.0.123,13.107.5.93,6,1722604397.605784,78,53181.0,443.0,TCP
192.168.0.123,13.107.5.93,6,1722604397.605984,54,53181.0,443.0,TCP
13.107.5.93,192.168.0.123,6,1722604397.648866,54,443.0,53181.0,TCP
13.107.5.93,192.168.0.123,6,1722604397.664135,54,443.0,53181.0,TCP
192.168.0.123,20.189.173.26,6,1722604399.670300,54,53175.0,443.0,TCP
192.168.0.123,13.107.5.93,6,1722604399.818288,66,53182.0,443.0,TCP
13.107.5.93,192.168.0.123,6,1722604399.886407,66,443.0,53182.0,TCP
192.168.0.123,13.107.5.93,6,1722604399.886463,54,53182.0,443.0,TCP
